,label,affairVoteId,meaningYesText,meaningNoText,numYes,numNo,numAbst,section,art_id,orientation,name,group,vote,Âge,Genre_F,Genre_H,District_Brig,District_Conthey,District_Entremont,District_Goms,District_Hérens,District_Leuk,District_Martigny,District_Monthey,District_Sierre,District_Sion,District_St-Maurice,District_Visp,District_Westlich Raron,District_Östlich Raron
0,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Matteo ABÄCHERLI,CD,non,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Claudia ALPIGER,G,oui,32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Romano AMACKER,CD,non,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Maria ARNOLD-ESCHER,CD,non,58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Peter BÄHLER,CD,non,68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Gabrielle BARRAS,D,non,58,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Léonard BENDER,G,oui,54,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Philippe BENDER,D,non,71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Claudy BESSE,D,non,57,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,"606, vote 1 : Commission contre A-606.28 CVPO/UDCVR/SVPO/Crettenand A. etc.",20211207160250,"En l’absence d’un congé parental fédéral, l’État met en place un dispositif de congé parental cantonal.",(néant),68,35,4,1ère lecture - Commission 6,606,-0.4637340301974448,Jacques BLANC,G,oui,67,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
