,affairVoteId
488,20211209145152
489,20211209145100
493,20211209123532
497,20211209115926
499,20211209114349
505,20211209113444
507,20211209113016
508,20211209112912
511,20211209111400
512,20211209105231
518,20211209103041
519,20211209102926
521,20211209102654
522,20211209102607
528,20211209100455
529,20211209100409
546,20211207175339
550,20211207174632
554,20211207173406
559,20211207171240
563,20211207170838
564,20211207165907
565,20211207165616
568,20211207165015
578,20211207160643
580,20211207160250
581,20211207151649
585,20211207150508
593,20211207144242
596,20211207143809
598,20211207143612
607,20211207141453
609,20211207115211
610,20211207115110
611,20211207115026
612,20211207113052
613,20211207112948
619,20211207102619
625,20211207094634
632,20211207092238
635,20211125172110
641,20211125165707
646,20211125164227
648,20211125161611
649,20211125161335
657,20211125160409
659,20211125151605
665,20211125145141
666,20211125145037
674,20211125114342
676,20211125113603
679,20211125112557
683,20211125104302
687,20211125101932
688,20211125100922
692,20211125095749
699,20211125092916
702,20211123172855
709,20211123165702
710,20211123165615
711,20211123164813
713,20211123163712
715,20211123160845
718,20211123155808
720,20211123154821
723,20211123153619
727,20211123151722
728,20211123151232
729,20211123151022
730,20211123150502
737,20211123142858
740,20211123122108
745,20211123113625
746,20211123105817
748,20211123103029
751,20211123101323
756,20211123095212
761,20211123091617
765,20211104115742
768,20211104114711
769,20211104114410
771,20211104113155
772,20211104112717
774,20211104111723
775,20211104111520
779,20211104105554
789,20211104093957
791,20211102165317
795,20211102163425
796,20211102162708
797,20211102161910
798,20211102161743
800,20211102155957
806,20211102153315
811,20211102152251
812,20211102151835
827,20211102104915
833,20211102094000
834,20211102093714
835,20211102092944
837,20211102092800
840,20211102090631
841,20211102090500
843,20211021170730
847,20211021162405
850,20211021161250
853,20211021154429
854,20211021154041
855,20211021153212
857,20211021152140
859,20211021151359
863,20211021145905
869,20211021121539
874,20211021095232
879,20211019174748
881,20211019171820
882,20211019171631
883,20211019170023
886,20211019164412
888,20211019163407
889,20211019163320
890,20211019162122
892,20211019160140
893,20211019154145
894,20211019154007
900,20211019145809
901,20211019145642
902,20211019144818
903,20211019144352
905,20211019142849
908,20211019140748
909,20211019120354
912,20211019115022
913,20211019114827
914,20211019114119
915,20211019112930
916,20211019112441
918,20211019112034
923,20211019110552
924,20211019105953
925,20211019105613
926,20211019105301
929,20211019103359
932,20211019102730
935,20211019101815
936,20211019094101
937,20211019092811
939,20211019091716
941,20211019091212
944,20211007122141
948,20211007114814
950,20211007112206
951,20211007111946
958,20211007105436
961,20211007103010
962,20211007100529
965,20211007094714
967,20211007093716
969,20211007091941
971,20211007091201
973,20211005175203
974,20211005173838
977,20211005173027
982,20211005171134
983,20211005164852
988,20211005161201
991,20211005155125
994,20211005152940
1000,20211005144844
1011,20211005141356
1015,20211005121022
1019,20211005115057
1021,20211005113841
1026,20211005110548
1029,20211005105440
1030,20211005104632
1031,20211005103758
1033,20211005101833
