,name,group,Âge,District,Genre,vote,orientation,progvscons
0,Adeline CRETTENAND,VLR,18-30,Martigny,F,0.0,0.3333333333333333,0.2
1,Alain DUBOSSON,UDC,18-30,Monthey,H,-0.38095238095238093,0.7692307692307693,0.7619047619047619
2,Alain LÉGER,PDC,30-45,Martigny,H,0.375,0.15,0.05405405405405406
3,Alain SCHÖNBETT,VLR,65+,Monthey,H,0.4594594594594595,-0.3333333333333333,-0.47058823529411764
4,Alex BONVIN,UDC,45-65,Sierre,H,-0.35135135135135137,0.7,0.6470588235294118
5,Alina DARBELLAY,LES VERTS,45-65,Sion,F,0.125,-0.8461538461538461,-0.782608695652174
6,Arnaud DUBOIS,VLR,30-45,Monthey,H,0.3902439024390244,-0.5714285714285714,-0.7631578947368421
7,Bernard OBERHOLZER,AC,65+,Monthey,H,0.23076923076923078,-1.0,-0.6363636363636364
8,Bernard TROILLET,PDC,65+,Martigny,H,0.5609756097560976,-0.14285714285714285,-0.2631578947368421
9,Blaise CRETTOL,AC,45-65,Sierre,H,0.21052631578947367,-0.8095238095238095,-0.8333333333333334
10,Caroline REYNARD,AdG,18-30,Sion,F,0.17073170731707318,-0.7619047619047619,-0.7894736842105263
11,Chantal CARLEN,CVPO,18-30,Goms,F,0.1111111111111111,0.6,0.5555555555555556
12,Christelle HERITIER,VLR,30-45,Sion,F,0.32,-0.6923076923076923,-0.6956521739130435
13,Christian ESCHER,CSPO,30-45,Brig,H,0.43243243243243246,-0.05263157894736842,-0.17142857142857143
14,Christine ROUX,PDC,45-65,Sion,F,0.15625,0.4,0.3448275862068966
15,Cilette CRETTON,AC,65+,Martigny,F,0.2682926829268293,-0.7619047619047619,-0.7631578947368421
16,Claude NANÇOZ,VLR,65+,Conthey,H,0.15151515151515152,0.125,-0.13333333333333333
17,Claudia ALPIGER,ZUK-VS,30-45,Brig,F,0.175,-0.7,-0.6216216216216216
18,Claudia GAILLARD MOREND,LES VERTS,45-65,Hérens,F,0.4634146341463415,-0.7142857142857143,-0.8421052631578947
19,Claudy BESSE,UDC,45-65,Monthey,H,-0.09375,0.47058823529411764,0.45161290322580644
20,Corinne DUC BONVIN,AdG,45-65,Sierre,F,0.18421052631578946,-0.7368421052631579,-0.8571428571428571
21,Célina RAMSAUER,AC,45-65,Sierre,F,0.02702702702702703,-0.7647058823529411,-0.7647058823529411
22,Côme VUILLE,VLR,30-45,Monthey,H,0.4634146341463415,-0.3333333333333333,-0.3684210526315789
23,Damien CLERC,PDC,30-45,Conthey,H,0.3333333333333333,0.7777777777777778,0.625
24,Damien FUMEAUX,UDC,18-30,Conthey,H,-0.3170731707317073,0.6666666666666666,0.631578947368421
25,Damien LUISIER,PDC,18-30,Martigny,H,0.3142857142857143,0.2222222222222222,0.21212121212121213
26,Damien RABOUD,UDC,30-45,Monthey,H,-0.32432432432432434,0.5294117647058824,0.5588235294117647
27,Danica ZURBRIGGEN LEHNER,CSPO,30-45,Visp,F,0.16,-0.3333333333333333,-0.20833333333333334
28,Dominik KNUBEL,CVPO,30-45,Westlich Raron,H,0.05,-0.15,-0.05405405405405406
29,Edmond PERRUCHOUD,UDC,65+,Sierre,H,-0.25,0.7692307692307693,0.7586206896551724
30,Emilie PRAZ,AC,30-45,Sion,F,0.2682926829268293,-0.8095238095238095,-0.8421052631578947
31,Fabian ZURBRIGGEN,SVPO,45-65,Visp,H,-0.24390243902439024,0.5238095238095238,0.7631578947368421
32,Fabien THETAZ,AdG,30-45,Monthey,H,0.4722222222222222,-0.7777777777777778,-0.8484848484848485
33,Fabienne MURMANN,CVPO,30-45,Leuk,F,0.024390243902439025,0.42857142857142855,0.2631578947368421
34,Felix RUPPEN,CVPO,45-65,Brig,H,0.0,0.75,0.4375
35,Flavio SCHMID,CSPO,30-45,Visp,H,0.5833333333333334,0.3333333333333333,0.23809523809523808
36,Florence CARRON DARBELLAY,PDC,45-65,Martigny,F,0.5,0.0,-0.2702702702702703
37,Florent FAVRE,PDC,18-30,Conthey,H,0.2777777777777778,0.375,0.15151515151515152
38,Florian EVEQUOZ,AC,30-45,Conthey,H,0.3170731707317073,-0.9047619047619048,-0.7894736842105263
39,Florine CARRON,LES VERTS,30-45,Martigny,F,0.15625,-0.7368421052631579,-0.7
40,François GENOUD,VLR,65+,Sierre,H,0.4,-0.23809523809523808,-0.40540540540540543
41,François QUENNOZ,UDC,18-30,Sion,H,-0.07692307692307693,0.42105263157894735,0.4444444444444444
42,Frédéric PITTELOUD,PDC,45-65,Hérens,H,0.2682926829268293,0.23809523809523808,0.15789473684210525
43,Gabrielle BARRAS,UDC,45-65,Sion,F,-0.23529411764705882,0.5,0.4838709677419355
44,Gabrielle CORNUT-ZUFFEREY,LES VERTS,45-65,Sierre,F,0.4444444444444444,-0.7777777777777778,-0.8787878787878788
45,Gaël BOURGEOIS,AdG,30-45,Martigny,H,0.08333333333333333,-1.0,-0.7391304347826086
46,Georges VIONNET,LES VERTS,65+,Monthey,H,0.2,-0.8095238095238095,-0.8421052631578947
47,Gerhard SCHMID,INDEP,65+,Östlich Raron,H,0.0,-0.7142857142857143,-0.631578947368421
48,German EYER,ZUK-VS,45-65,Brig,H,0.1,-0.7142857142857143,-0.5945945945945946
49,Grégoire VANNAY,PDC,45-65,Monthey,H,0.5121951219512195,-0.09523809523809523,-0.10526315789473684
50,Géraldine GIANADDA,VLR,45-65,Martigny,F,0.5666666666666667,-0.8125,-0.7407407407407407
51,Géraldine GRANGES GUENOT,UDC,45-65,Martigny,F,1.0,-1.0,-1.0
52,Géraldine GRANGES-GUENOT,UDC,45-65,Martigny,F,-0.5925925925925926,0.5,0.5416666666666666
